ds,y,,,
29-12-2014,1261.449951,,,
30-12-2014,1265.025024,,,
31-12-2014,1279.125,,,
01-01-2015,1272.775024,,,
02-01-2015,1289.724976,,,
05-01-2015,1270.125,,,
06-01-2015,1223.300049,,,
07-01-2015,1208.849976,,,
08-01-2015,1221.900024,,,
09-01-2015,1256.150024,,,
12-01-2015,1254.849976,,,
13-01-2015,1248.949951,,,
14-01-2015,1260.974976,,,
15-01-2015,1269.550049,,,
16-01-2015,1266.074951,,,
19-01-2015,1255.5,,,
20-01-2015,1250.224976,,,
21-01-2015,1256.900024,,,
22-01-2015,1256.775024,,,
23-01-2015,1251.800049,,,
27-01-2015,1251.025024,,,
28-01-2015,1269.800049,,,
29-01-2015,1272.324951,,,
30-01-2015,1241.025024,,,
02-02-2015,1257.099976,,,
03-02-2015,1279.125,,,
04-02-2015,1257.150024,,,
05-02-2015,1276.199951,,,
06-02-2015,1287.875,,,
09-02-2015,1256.449951,,,
10-02-2015,1220.574951,,,
11-02-2015,1229.949951,,,
12-02-2015,1231.074951,,,
13-02-2015,1269.375,,,
16-02-2015,1292.400024,,,
18-02-2015,1317.824951,,,
19-02-2015,1340.525024,,,
20-02-2015,1337.775024,,,
23-02-2015,1348.324951,,,
24-02-2015,1352.375,,,
25-02-2015,1336.099976,,,
26-02-2015,1328.224976,,,
27-02-2015,1331.175049,,,
02-03-2015,1334.699951,,,
03-03-2015,1388,,,
04-03-2015,1373,,,
05-03-2015,1348.224976,,,
09-03-2015,1323.400024,,,
10-03-2015,1321.349976,,,
11-03-2015,1303.275024,,,
12-03-2015,1309.525024,,,
13-03-2015,1291.175049,,,
16-03-2015,1281.150024,,,
17-03-2015,1291.849976,,,
18-03-2015,1279.675049,,,
19-03-2015,1298.125,,,
20-03-2015,1305.474976,,,
23-03-2015,1308.574951,,,
24-03-2015,1295.650024,,,
25-03-2015,1286.875,,,
26-03-2015,1256.550049,,,
27-03-2015,1257.400024,,,
30-03-2015,1282.074951,,,
31-03-2015,1276.974976,,,
01-04-2015,1271.324951,,,
06-04-2015,1273.650024,,,
07-04-2015,1292.5,,,
08-04-2015,1320.699951,,,
09-04-2015,1332.275024,,,
10-04-2015,1326.875,,,
13-04-2015,1327.75,,,
15-04-2015,1313.875,,,
16-04-2015,1291.400024,,,
17-04-2015,1237.425049,,,
20-04-2015,1214.400024,,,
21-04-2015,1213.525024,,,
22-04-2015,1222.550049,,,
23-04-2015,1228.625,,,
24-04-2015,1246.525024,,,
27-04-2015,1250.099976,,,
28-04-2015,1247.5,,,
29-04-2015,1243.650024,,,
30-04-2015,1231.849976,,,
04-05-2015,1240.775024,,,
05-05-2015,1258.925049,,,
06-05-2015,1231.525024,,,
07-05-2015,1272.625,,,
08-05-2015,1263.625,,,
11-05-2015,1278,,,
12-05-2015,1261.449951,,,
13-05-2015,1257.699951,,,
14-05-2015,1249.625,,,
15-05-2015,1255.574951,,,
18-05-2015,1260.199951,,,
19-05-2015,1256.349976,,,
20-05-2015,1278.525024,,,
21-05-2015,1277.75,,,
22-05-2015,1308.949951,,,
25-05-2015,1300.5,,,
26-05-2015,1304.425049,,,
27-05-2015,1307.625,,,
28-05-2015,1304.75,,,
29-05-2015,1305.150024,,,
01-06-2015,1308.875,,,
02-06-2015,1299.949951,,,
03-06-2015,1305.449951,,,
04-06-2015,1302.824951,,,
05-06-2015,1287.925049,,,
08-06-2015,1288.724976,,,
09-06-2015,1280.824951,,,
10-06-2015,1300.375,,,
11-06-2015,1285.650024,,,
12-06-2015,1252.900024,,,
15-06-2015,1252.400024,,,
16-06-2015,1256,,,
17-06-2015,1256.900024,,,
18-06-2015,1265.025024,,,
19-06-2015,1274.775024,,,
22-06-2015,1295.75,,,
23-06-2015,1287.300049,,,
24-06-2015,1285.150024,,,
25-06-2015,1275,,,
26-06-2015,1296.400024,,,
29-06-2015,1296.449951,,,
30-06-2015,1275.474976,,,
01-07-2015,1296.550049,,,
02-07-2015,1288.875,,,
03-07-2015,1301.949951,,,
06-07-2015,1316.650024,,,
07-07-2015,1308.125,,,
